,transect_id,country_id,continent,country_name,changerate,changerate_unc,flag_sandy,no_shorelines,dt,dist,RMSE,outliers_1,outliers_2,Timespan,intercept,intercept_unc,no_sedcomp,low_detect_shlines,err_changerate,err_timespan,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat,coastline_idint
52314,BOX_117_121_0,NLD,Europe,Netherlands,1.0527550925168572,0.0099147402243778,False,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[940.0277437281156, 951.9184613922613, 951.7481837008542, 952.6220411962117, 953.6727691118309]",0.0735302930622792,[],[1],13.0,920.0392159648288,0.2824519910825653,1.0,0.0,1.0,1.0,-68.3954265227,12.295108783,-68.40103279649999,12.3019667269,-68.40663898380001,12.3088245649,8637.0
52315,BOX_117_121_1,NLD,Europe,Netherlands,-0.0805212977468717,0.3182070949396325,False,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[931.5999723600611, 929.1552056272625, 926.6855276992937, 928.640300111916, 934.2772748156578]",2.5945765460656234,[],[],13.0,932.342480507524,9.098099869323264,1.0,0.0,1.0,1.0,-68.3985045575,12.292725445,-68.4045404821,12.2992259882,-68.41057633,12.305726448699998,8637.0
52316,BOX_117_121_2,NLD,Europe,Netherlands,1.0135654153058995,0.2926275792880234,False,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[1027.6306843222474, 1036.990472718606, 1037.0235480119068, 1036.21600546097, 1044.4399803696303]",2.3859885066679536,[],[],13.0,1007.8760352756826,8.366732051516943,1.0,0.0,1.0,1.0,-68.4011792058,12.2899787644,-68.4076539598,12.2960629139,-68.4141286433,12.3021469973,8637.0
52317,BOX_117_121_3,NLD,Europe,Netherlands,-0.14220225625253,0.0144645693179826,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[1086.5937303570067, 1085.1984097244317, 1085.1821020087584, 1084.7626723284538, 1077.850950398802]",0.0985095970043369,[],[4],12.0,1089.3094899929588,0.4002920058763401,1.0,0.0,1.0,1.0,-68.4028391287,12.2875141027,-68.4102441499,12.2924830911,-68.417649129,12.2974520514,8637.0
52318,BOX_117_121_4,NLD,Europe,Netherlands,0.1198273691503333,0.4248479744810619,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[1087.3945723254337, 1095.7565297277874, 1089.8810021330376, 1090.8363636075878, 1085.4115002556905]",3.464074883085618,[],[],13.0,1086.476677585165,12.14715029949668,1.0,0.0,1.0,1.0,-68.40398853890001,12.2849259183,-68.4121789278,12.2885311896,-68.420369302,12.2921364545,8637.0
52319,BOX_117_121_5,NLD,Europe,Netherlands,2.003914770631125,1.1423278438490223,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[1104.961584300795, 1125.9669981275063, 1145.2606258946269, 1131.6730728480761, 1120.1944103458873]",9.314166962063693,[],[],13.0,1069.0978762628004,32.66113856917176,1.0,0.0,1.0,1.0,-68.4048347458,12.2820397778,-68.4135020557,12.2843468123,-68.4221693662,12.286653847,8637.0
52320,BOX_117_121_6,NLD,Europe,Netherlands,1.7884453791296386,0.1705083093575554,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[961.0563538238689, 981.9601973762475, 981.860175265984, 981.9619910891784, 983.543970409723]",1.3902695574341222,[],[],13.0,927.6396284622645,4.875129105860446,1.0,0.0,1.0,1.0,-68.4054820051,12.2787847161,-68.4143714752,12.2800490649,-68.42326094939999,12.2813134143,8637.0
52321,BOX_117_121_7,NLD,Europe,Netherlands,-0.1916760931947894,0.0373593753045844,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[1009.2565418285915, 1007.3853362423247, 1006.7277828151952, 1007.24314035419, 1003.5720285655241]",0.2544317207578459,[],[4],12.0,1012.8767107000588,1.0338825005608154,1.0,0.0,1.0,1.0,-68.4059430585,12.2754083831,-68.4149213348,12.2756975489,-68.4238996126,12.2759867147,8637.0
52322,BOX_117_121_8,NLD,Europe,Netherlands,0.0218422243994773,0.2799817972982328,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[994.6747340037967, 995.4550543556264, 991.7451965773982, 996.9994839474592, 963.7755119391701]",1.9068031100784533,[],[4],12.0,994.123378220788,7.74820427404325,1.0,0.0,1.0,1.0,-68.4060910245,12.2710218436,-68.41506929810001,12.2713110141,-68.4240475787,12.2716001848,8637.0
52323,BOX_117_121_9,NLD,Europe,Netherlands,0.6601916312935739,1.899957487095826,True,5.0,"[19.0010746285, 29.002648925, 30.0019849826, 31.0013210401, 32.0006570977]","[847.7474641986306, 845.4154396236781, 869.8322813044633, 877.2518263552317, 835.2845015662998]",15.491633363090289,[],[],13.0,836.487895874811,54.32308293560129,1.0,0.0,1.0,1.0,-68.4062389905,12.266635231,-68.4152172639,12.2669244063,-68.4241955447,12.2672135819,8637.0
